domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
playatoms-pa.googleapis.com.,142.250.190.10;142.250.190.74;172.217.2.42;142.250.191.138;142.251.32.10;142.250.191.106;172.217.5.10;142.250.190.138;142.250.190.106;142.250.191.170;142.251.34.234;142.250.191.234;142.250.190.42;142.250.191.202;172.217.1.106;172.217.4.42,142.250.191.138;142.251.32.10;172.217.4.42;142.250.191.234;142.251.34.234;142.250.190.138;172.217.2.42;142.250.190.10;142.250.191.202;142.250.190.42;142.250.191.106;142.250.190.74;142.250.190.106;142.250.191.170,240,300
zscaler.com.,52.10.132.43;52.34.226.155,52.10.132.43;52.34.226.155,300,300
damco.com.,204.74.99.103,204.74.99.103,300,300
taobao.com.,59.82.43.234;59.82.43.238;59.82.122.140;59.82.122.165;59.82.43.239;59.82.122.130;59.82.121.163;59.82.44.240,59.82.122.140;59.82.44.240;59.82.121.163;59.82.43.239;59.82.43.238;59.82.122.165;59.82.43.234;59.82.122.130,300,300
firebaseremoteconfigrealtime.googleapis.com.,142.250.191.234;142.250.190.42;142.250.191.106;172.217.4.202;142.250.190.138;172.217.4.42;172.217.5.10;142.251.32.10;142.250.190.106;172.217.1.106;142.250.190.10;172.217.4.74;172.217.2.42;142.250.190.74;142.251.34.234;142.250.191.202,142.250.190.74;172.217.5.10;172.217.4.202;142.250.190.42;142.250.191.202;142.250.191.106;142.250.190.10;142.250.191.170;142.250.191.138;142.251.34.234;172.217.1.106;172.217.4.42;142.250.190.106;142.250.191.234;142.250.190.138;172.217.2.42,112,300
zdxcloud.net.,,,-1,-1
mobilemaps-pa-gz.googleapis.com.,216.239.38.135,216.239.38.135,3522,3600
jsdelivr.net.,1.2.3.4,1.2.3.4,600,600
mobileconfiguration-pa.googleapis.com.,142.250.190.74;142.250.191.234;142.250.191.202;142.251.32.10;142.250.191.138;172.217.2.42;172.217.4.74;142.250.190.42;142.250.190.138;142.250.190.106;172.217.1.106;142.250.190.10;142.250.191.170;142.251.34.234;142.250.191.106;172.217.4.202,142.251.32.10;172.217.1.106;142.250.190.42;172.217.4.74;142.250.190.10;172.217.5.10;142.250.190.74;142.250.190.138;142.250.190.106;142.250.191.106;172.217.2.42;142.250.191.234;142.250.191.138;142.251.34.234;142.250.191.170;172.217.4.202,300,300
zscaler.net.,,,-1,-1
omtrdc.net.,,,-1,-1
clarity.ms.,13.89.188.82;52.173.199.90,52.173.199.90;13.89.188.82,3600,3600
2mdn.net.,,,-1,-1
giphy.com.,151.101.65.91;151.101.193.91;151.101.129.91;151.101.1.91,151.101.1.91;151.101.65.91;151.101.193.91;151.101.129.91,3600,1427
danaccess.net.,217.167.147.132,217.167.147.132,600,600
dmw.gov.ph.,202.69.191.77,202.69.191.77,14400,10797
heytapmobile.com.,,,-1,-1
susercontent.com.,,,-1,-1
oauth2.googleapis.com.,142.251.176.95,192.178.131.95,17,300
licdn.com.,,,-1,-1
live.net.,,,-1,-1
weather.com.,23.11.10.192,23.11.10.192,20,20
macys.net.,,,-1,-1
xiaomi.com.,124.251.34.141,124.251.34.141,600,600
casalemedia.com.,104.18.26.193;104.18.27.193,104.18.27.193;104.18.26.193,300,300
twitter.com.,172.66.0.227,172.66.0.227;162.159.140.229,300,97
voilatile-pa.googleapis.com.,142.250.190.74;142.250.190.106;172.217.4.202;172.217.4.74;142.251.32.10;142.250.190.10;142.250.191.202;142.250.191.138;142.250.190.138;142.250.191.234;172.217.5.10;172.217.4.42;142.250.190.42;142.250.191.170;142.250.191.106;142.251.34.234,142.250.190.138;172.217.1.106;142.251.32.10;172.217.2.42;142.250.190.106;172.217.4.42;172.217.4.74;172.217.4.202;142.250.190.74;142.250.191.138;142.250.191.202;142.251.34.234;142.250.191.234;142.250.191.106;142.250.190.42;142.250.191.170,175,300
msftauth.net.,,,-1,-1
amazon.com.,98.87.170.71;98.82.161.185;98.87.170.74,98.82.161.185;98.87.170.74;98.87.170.71,900,299
storage.googleapis.com.,142.250.190.123;142.250.190.155;142.250.190.91;142.250.191.123;142.250.190.27;142.250.191.219;172.217.4.219;172.217.4.91;142.250.191.251;172.217.1.123;172.217.2.59;142.250.190.59;142.250.191.187;142.251.32.27;142.250.191.155;172.217.4.59,172.217.4.59;142.250.190.155;172.217.2.59;172.217.5.27;172.217.4.219;142.250.191.219;142.251.32.27;142.250.191.123;142.250.190.123;142.250.191.155;142.250.190.27;142.250.190.91;142.250.191.187;142.250.191.251;142.251.34.251;142.250.190.59,239,300
jnn-pa.googleapis.com.,142.250.191.106;172.217.4.42;142.250.191.202;172.217.1.106;142.250.190.106;172.217.4.202;142.250.191.170;142.250.190.42;142.250.191.138;142.251.32.10;142.250.190.74;142.250.191.234;142.250.190.138;142.251.34.234;172.217.2.42;142.250.190.10,142.250.191.170;172.217.2.42;172.217.1.106;172.217.4.202;142.250.190.74;142.250.191.234;172.217.5.10;172.217.4.42;142.250.191.138;142.251.32.10;142.250.190.138;142.250.190.10;142.250.190.42;142.250.190.106;142.250.191.106;142.250.191.202,237,300
kghcustoms.com.,194.218.10.186,194.218.10.186,300,300
googlezip.net.,,,-1,-1
adobe.io.,52.202.204.11;23.22.254.206;54.227.187.23;52.5.13.197,23.22.254.206;52.202.204.11;52.5.13.197;54.227.187.23,60,60
tiktok.com.,23.59.169.49;23.59.169.56,23.217.55.198;23.217.55.181;23.217.55.197;23.217.55.191;23.217.55.196;23.217.55.170,20,20
network-auth.com.,,,-1,-1
adsafeprotected.com.,3.162.163.127;3.162.163.47;3.162.163.24;3.162.163.88,18.154.101.23;18.154.101.105;18.154.101.120;18.154.101.97,60,5
tpp.com.pe.,52.205.198.106,52.205.198.106,3600,3600
ibyteimg.com.,,,-1,-1
openx.net.,35.244.159.8;34.98.64.218,35.244.159.8;34.98.64.218,900,895
msftncsi.com.,,,-1,-1
photosdata-pa.googleapis.com.,142.251.34.234;172.217.1.106;142.250.191.234;142.250.190.74;172.217.2.42;142.250.190.42;172.217.5.10;172.217.4.42;142.250.191.138;142.250.191.170;142.250.190.138;142.250.190.106;142.250.191.202;142.250.190.10;142.251.32.10;142.250.191.106,172.217.1.106;142.250.190.10;142.250.191.106;172.217.4.42;172.217.4.74;142.251.34.234;142.250.191.138;172.217.2.42;172.217.5.10;142.251.32.10;142.250.191.170;142.250.190.106;142.250.191.202;142.250.190.138;142.250.191.234;172.217.4.202,198,300
chatgpt.com.,172.64.155.209;104.18.32.47,172.64.155.209;104.18.32.47,112,300
geomobileservices-pa.googleapis.com.,172.217.1.106;142.250.191.234;142.250.191.106;142.250.190.10;142.250.190.106;142.250.190.74;142.250.191.138;172.217.4.202;172.217.4.42;172.217.5.10;142.250.190.42;142.250.191.170;172.217.2.42;142.251.32.10;142.250.190.138;142.250.191.202,172.217.4.42;142.250.190.106;172.217.2.42;142.250.191.138;142.250.190.42;142.250.190.138;142.250.191.170;142.250.190.74;142.250.191.202;142.251.32.10;172.217.1.106;172.217.4.202;142.251.34.234;142.250.191.106;142.250.190.10;142.250.191.234,157,300
heytapdl.com.,,,-1,-1
